Year,Movie Title,movie,formatted_name,top_critics,_merge
2011,Hop ,Hop ,hop_2011,"['Props, though, to the WTF musical interlude featuring the Blind Boys of Alabama.', ""Kids will love Brand's frenetic drumming take on E.B., adults will love that there are a few clandestine adult jokes."", 'Perfectly pleasant, funny, if unexceptional Easter holiday movie.', ""Hop is the kind of movie that makes helpless critics wish we could stage an intervention. Parents! It doesn't have to come to this!"", ""The film is bright and breezy and the animation is first rate. Some of the jokes are lame, and it's more a film for younger, and less sophisticated children."", 'For the most part it tries too hard, lurching from one plot contrivance to another and never giving any of its cast (apart from the heroically hard-working Marsden) much to do.', 'Gone are the days of childlike mystery, and in their place we have the childish Hop.', ""It's a combination of the worst movies about trouble in Santa Claus's north pole toy factory and a version of Charlie and the Chocolate Factory lethally laced with sugar."", ""The bunny-gets-injured, slacker-saves-Easter plotline doesn't pack too much predictability but Brand does his best with the material and it's cute enough for kids."", ""The lack of any comparable reality check will make this one an endurance test for most people who aren't five."", 'Other than some truly obnoxious and out of place sexual innuendos that serve no purpose and have no reason to be in the film other than to help it achieve a PG rating, this is a picture unashamedly geared towards little kids under the age of ten.', 'As fake and forgettable as a marshmallow Peep, ""Hop"" goes down easy enough. It\'s the thought of a talented actor stuck on an industry conveyor belt that leaves an unfortunate aftertaste.', ""Hop is spectacularly charmless -- there's no spring in its step. The last thing we need is an Easter movie that comes limping down the bunny trail."", ""Though the integration of live action and animation is improving (especially a scene where E.B. cuddles with Fred's sister), it's still a slightly disorienting experience."", ""Hop is just too shrill, slick and sickly sweet for anybody's good. Watching it won't rot your teeth, but it could leave an ugly cavity in your brain."", 'Hop is a hodge-podge of a movie in which stretches of dull subplots and narrative stagnation are broken up by an occasional good laugh.', 'A fun and funny mix of live action and animation that puts the hop back into Easter.', 'Hop integrates animated characters into live-action settings, relying on director Tim Hill to handle the logistics of convincingly blending both worlds.', 'Flop would be closer.', 'It may be okay for kids under 10 but this anodyne movie will try the patience of the family audience for whom it strives mightily.']",both
2011,Jane Eyre ,Jane Eyre ,jane_eyre_2011,"[""What it does right it does very right. It is stunningly mounted, for example... But what it does wrong is fatal, and the error is this: it just isn't passionate or sexy enough."", 'Jane Eyre triumphs with a suitably bleak landscape and an excellent performance from Michael Fassbender, but the restrained tone lets it down.', '', ""Screenwriter Moira Buffini sticks pretty closely to the novel, and director Cary Fukunaga conjures a drab tone that nicely sets off the characters' violent but rigidly controlled passions."", 'The direction by Cary Fukunaga is real by-the-numbers rote.', 'The new Jane Eyre is notably well-made in almost every respect and should you want to watch an adaptation of the story just now, highly recommendable.', 'Some works of art are inexhaustible, and this is proving one of them.', 'Spot on.', ""Those craving gloomy stairways and thunderclap atmospherics might not come away completely sated, but Fukunaga's delicate artistry leaves it hard to ask for much more."", 'In approaching the material with respect, restraint and simple good taste, Fukunaga has created something strangely revelatory.', 'This adaptation is balanced, crafted, beautifully acted, though for me without the thunderclap and lightning-bolt of passion.', 'This is no plain Jane.', ""There's no question it's stunningly mounted, and Wasikowska makes a much stronger Jane than Alice, but the romance is overripe and the climax underdone."", 'Following his impressive feature debut, Sin Nombre, director Cary Fukunaga has brought his keen eye and humanistic sensibilities to this oft-told story.', ""If the motion-picture industry had existed in 1847, the year Charlotte Bront's novel appeared, it might have produced an adaptation much like this one."", 'The Eyre/Rochester romance has inspired happy sighs for 160 years and in these days, when so little is repressed that no one makes time for smolder, it still delivers.', ""It is a movie that has delved into the nooks and crannies of the author's brain unlike any other before it that I have seen, and for that reason alone I do call it a triumph and a motion picture most definitely worth the time to experience for one's self."", ""Somehow Wasikowska makes it all seem much more personal, more real. With her stark, starched dresses and blunt, elastic face, she draws you in, making both Jane's pain and incredible resolve tangible."", 'An atmospheric, absorbing version of the classic romance between an abandoned, plucky orphan and a wealthy, mysterious older man with a seriously Gothic secret.', 'By opening their movie with the mature Jane, the filmmakers forge an emotional bond between her and the audience.']",both
2011,"Crazy, Stupid, Love","Crazy, Stupid, Love",crazy_stupid_love_2011,"['Despite some shaky plotting, the Carell and Gosling duo is an engaging watch and the two have their own special brand of chemistry that keeps the film going, even when things feel just ludicrous enough to be distracting.', ""The acting is universally excellent, and during the majority of the film's running time what's taking place is almost too glorious for words."", 'Steve Carell sets aside his goofball schtick for a more earthy role in this satisfying, mature ensemble romantic dramedy.', ""It's several cuts above the average romantic comedy that we've been getting lately and I've been sort of railing against those, because they're not romantic and they're not funny but this is both romantic and funny."", ""There may not be much competition, but it's among the best of the year."", 'It ties its strands together a touch too tightly two-thirds of the way through - but still leaves enough hanging at the end to be credible.', ""For long stretches, Glenn Ficarra and John Requa's Crazy, Stupid, Love is a sharp, decidedly superior romantic comedy whose top-rate performers and fizzy dialogue go a long way to overcoming its tired set-up."", 'Maudlin, glossy, overextended.', 'A hilarious insight into the world of dating, with a lorra, lorra laughs to be had.', 'This is witless, saccharine and lifeless...', ""The kind of film that makes you want to call someone the minute it's over, even if just to tell them to go see this movie."", 'When a movie opens with a woman telling her husband that she wants a divorce after twenty-five years of marriage and it isn\'t played for laughs, you know you\'re not in for a ""typical"" Hollywood comedy...', ""There's strong, fleetingly powerful stuff in Crazy, Stupid, Love., but like its awkwardly punctuated title, the movie jerks to a halt just when it's beginning to flow."", ""It's a tempestuous up and down storyline of laughing and sighing."", 'It gets better and funnier after a labored and lumbering start, which is entirely the opposite of most Hollywood comedies.', 'A few contrivances too many make this otherwise appealing romantic comedy seem occasionally ungainly, yet its sensational cast manages to breezily flick away most distractions.', 'The movie is going for a wistful romanticism. For me it was more like a pervy sociopathy.', 'This is not the ultimate romantic comedy - the one that makes you fall as hard for the characters as they do for one another while savoring their every interaction - but it seems fresher and less recycled than much of the product out there.', '...Steve Carell and Julianne Moore play their scenes honestly and believably, so while the characters and incidents around them become farcical at times, the core of the film remains subdued and even melancholy. Both actors are likable so we want...', ""This is the sort of film that Oscar generally ignores come awards season. It shouldn't. Crazy Stupid Love is a crazy smart film.""]",both
2011,Zookeeper ,Zookeeper ,zookeeper,"['', 'From the unstoppable Adam Sandler hit factory comes this pleasant, kid-friendly, ultra-formulaic shlub-does-good comedy.', 'Fans of the sight of James falling over will get a big kick out of Zookeeper, but this deranged comedy will leave everyone else scratching their heads.', ""To produce something as emphatically unfunny as this, the script's five-man team must have whipped themselves into a state of mutual delusion."", 'If as much money had gone into the screenplay as must have gone into the paying for the star voices we might have ended up with something less mundane.', 'In which Kevin James yet again proves his absolute unfitness (in both senses) for the part of romantic comedy lead.', 'Kevin James is the hero of this ""comedy"", which boasts five screenwriters and not a single amusing moment.', 'The comedy premise is confused and underwhelming while the formulaic romance is a waste of the charismatic leads.', 'Funniest moments? The outtakes during the closing credits. I rest my case.', 'Some sparks of comedy and fun but largely a flat and unrewarding comedy.', 'Kevin James has developed an irresistible screen persona as a nice-guy/underdog, which has served him well in some pretty mediocre films like Paul Blart: Mall Cop. In that context, Zookeeper is a quantum leap forward...', ""Perhaps the madcap adventures of a love-lorn middle aged man is not exactly kid's stuff. But it sure isn't for the adults in the audience either."", 'I think there should be a subdivision of the ASPCA -- American Society for the Prevention of Cruelty to Audiences.', 'Did we mention that things just go better with Kevin James? Well-trodden comedy hooks become strangely more amusing. Goofball physical shtick elicits broader smiles. The bumblingly stupid is made endearing.', ""I'm not gonna sugarcoat this: Movies don't have to be this bad."", 'Kevin James has developed an irresistible screen persona as a nice-guy/underdog, which has served him well in some pretty mediocre films like Paul Blart: Mall Cop. In that context, Zookeeper is a quantum leap forward,...', ""The movie is all concept and no execution, a few decent lines and a couple of nice sight gags not enough to make even partly worthy of a potential viewer's time."", 'Will most audiences mind this? Probably not. Should they? Of course. They deserve better and frankly, so does Kevin James.', 'Unfortunately, nobody had the good sense to call the comedy authorities and shut this Zookeeper down.', 'Offensive to women, men, children, parents, WASPs, Asians, African-Americans, animals and zookeepers … a movie with no conceivable audience.']",both
2011,Soul Surfer ,Soul Surfer ,soul_surfer,"[""Soul Surfer is a heavy-handed plea for sympathy that doesn't do the real-life story justice."", 'Clearly Bethany was quite a girl but this film prompts one simply to say ""Amen"".', 'The film that follows is thin and frothy, though watch out for that final sentimental upsurge. It could drag and lift you against your will.', ""It's clear that Quaid learned nothing from Jaws 3."", 'A surf film employing massive amounts of CG is incredible for all the wrong reasons.', 'A succession of would-be rousing clichés.', 'Soul Surfer seems simply too sugar-coated to be true.', ""The brazenly cheap look to the special effects sends the film into MST3K territory, and it's certainly the most hilariously awful surprise attack by a shark since Samuel L. Jackson got devoured by one in Deep Blue Sea."", ""You wonder why this movie isn't a documentary, rather than a synthetic feature film with the heroine's arm digitally removed."", 'Hamilton is played, blandly, by Anna Sophia Robb, and her devoted parents, less bland, are played by Dennis Quaid and Helen Hunt. The surfing footage, much of it shot off the coast of Kauai, is not bland at all.', ""It's Bethany and Alana's friendship - its sturdiness and vulnerability, its laughs and sincere apologies - that rules the day."", 'A by-the-numbers biopic about young surfer Bethany Hamilton.', ""An inspiring tale, even when true, doesn't necessarily make for an inspiring movie."", 'Given the heroic subject, the movie is as thrilling as a dish of rice pudding, a made-for-TV-style effort that rides a wave of religious sentiment into theatres.', 'The swells of inspirational storytelling sometimes threaten to swamp the underlying inspirational story.', 'The flaw in the storytelling strategy of ""Soul Surfer"" is that it doesn\'t make Bethany easy to identify with. She\'s almost eerie in her optimism. Her religious faith is so unshaken, it feels taken for granted.', 'Shamelessly pandering to the elusive Christian family audience, a committee of 18 producers and seven writers has removed nearly every trace of grit from this airbrushed portrait.', ""It's a compelling tale of surf and survival."", 'Does nearly everything you expect it to, but it does it more likably and satisfyingly than you might think it would.', 'Its bubbling optimism and spectacular scenery are hard not to like.']",both
2012,Norwegian Wood ,,,,left_only
2012,Paranormal Activity 4,Paranormal Activity 4,paranormal_activity_4_2012,"['A rickety old ride and no mistake, this instalment is for franchise fans only.', ""We're still seeing things through handheld devices and built-in laptop cameras, even though nobody seems interested in looking at the footage the cameras were supposedly recording."", 'Even for a something about supernatural shenanigans, this ending is embarrassing.', 'They could have called this Paranormal Inactivity.', 'The mood is often playful, with teases and fake-outs that are sometimes humorous and usually right before shocks. Violence is rare, quick and devoid of lingering close-ups.', ""Sadly continues the series' downslide, most drearily with a mid-film twist that enables the filmmakers to go about essentially remaking the second entry."", ""There are at least a half-dozen or so decent jolts to be enjoyed over the film's running time, but prepare for a long wait to actually get to them."", 'The mythology has deepened, largely to the negative, and the formula is as rigid as the fixins of a fast-food sandwich-tastes the same in every city. But the effects are eternally reliable.', 'Screenwriter Christopher Landon, along with co-directors Henry Joost and Ariel Schulman, make a truly lame attempt at establishing a supernatural mythology to explain all this ...', ""It's all faint-by-numbers this time, without even a cool device like the low-tech fan cam from PA3 to interest us or really scare us."", 'There is still activity, I regret to report, and none of it is of the normal variety.', 'The scares are hit-and-miss, but at least Alex and Ben are fun to hang out with.', 'Achieves a degree of success, but franchise quality is clearly starting to crack and give way to the gimmick.', ""Mostly, it plays like a overlong prologue for the already-in-the-works PA5. Here's hoping this is just the tension-racking lull before the next big scream."", 'The franchise that capitalized on the found-footage craze has gotten lost.', ""This film's strong suit is that it finally feels contemporary."", ""Of course, a promise of more activity to come. But unless moviegoers think it's worth watching another whole cast of characters sleep while their furniture moves around them, only diehard fans will stay awake for that next entry."", ""If we've learned nothing else from horror films, it's that little kids are weird and probably possessed, so, you know, when you see one coming toward you, it's best to run the other way."", 'Catfish pair Joost and Ariel Schulman keep the franchise firmly on track with a satisfyingly scary fourth instalment.', ""There's a point at which movies become only merchandise, and the Paranormal franchise may be heading for that nexus, that nadir.""]",both
2012,Your Sister's Sister,,,,left_only
2012,Beyond the Black Rainbow,,,,left_only
2012,The Avengers ,The Avengers ,marvels_the_avengers,"[""The comedic timing, coupled with his ability to maintain the authenticity of the characters, is worthy of praise. The Avengers delivers a popcorn feast that's the perfect summer kickoff."", ""Downey's Stark/Iron Man steals the show because the actor is capable of making the tritest dialogue sound wonderfully witty, but the CGI effects are amazing and, despite its length, the film is very enjoyable."", 'This will be loved by genre fans, when all is said and done/ But at two hours forty, you may find it numbs your bum/ Seriously, more attention to character could have made it a lot more fun/ And now I have said all that, I believe my poem is done.', 'If we must have these box-office behemoths, then at least the writer-director, Joss Whedon, creator of Buffy the Vampire Slayer, is a lively controlling influence.', ""Of course it's about one hundred times brighter than Transformers and Michael Bay's imbecilic spinoffs, and should keep multiplexes everywhere in its competent grip. But I didn't love it."", 'After two-and-a-half hours of world-threatening chaos and world-saving derring-do, you leave the theater satisfied, but without so much as a single memorable image (or idea) lingering in your mind.', ""Whedon manages all these disparate threads confidently, his script a model of self-control and restraint that's far from typical for the genre."", 'Never underestimate the entertainment value of the Hulk Smash.', 'If you are a Marvel fan, then The Avengers will feel like Christmas. Thanks to the merry doings of the director, Joss Whedon, all your favorite characters are here, as shiny and as tempting as presents under the tree.', 'A movie that yells at you and geeks out in equal measures.', 'Ultimately, it all comes back to Whedon: His clear vision for each character and how they might be profitably intermingled; his unexpected knack for action choreography; his funny, tender, immaculately constructed script.', 'A spectacle in the grandest sense of the word ...', ""It's easy to turn NIck Fury's blind eye to the movie's flaws because at the end of the day The Avengers packs big explosions, bigger personalities and Hulk-sized punch lines."", ""...there aren't many writer-directors as talented as Joss Whedon. Indeed, it's the writing that sets this film apart from the crowd, in harmony with perfect casting, first-rate visual effects, and other key ingredients."", 'Whedon, a pop-genre magician best known for Buffy the Vampire Slayer, is a master of viewer manipulation - because he never gives up his own seat in the crowd.', ""The performances are so well-pitched in The Avengers, meshing with such vividness and ease, that it's tempting to overpraise the good but not great movie that surrounds them."", 'The film is good enough to keep all the Marvel Comics crazed audiences out there deliriously happy while keeping the rest of us earthbound types in moderate thralldom.', ""It's two-plus hours of visual brawn, unexpected heartbeats and welcome humor."", 'Its primary purpose is not to explore or subvert the superhero movie, but to lay the groundwork for more of them.', 'A slow start, a single star performance surrounded by indifferent acting and an onslaught of computer effects that range from seen-it-all-in-""Transformers"" to a whole sky full of spectacular stuff in the midtown Manhattan climax.']",both
