movie,winner,top_critics,generated_reviews
 Inception ,1,"inception is an intriguing, frustrating film, but ultimately satisfying",last would choices the contrived clocking rotting surviving central
 Inception ,1,"this endlessly fascinating swirl of a film could have come only from nolan, who blends the cerebral twistiness of memento (his thriller that moves backward in time) with the spectacular action of his batman megahit, the dark knight",tonne villains norm phedon frangible doormat crazy chopra wore zookeepers independent deliverance shirley hyperstalwart its lost something often it nathan comedy musical that that caps trapped potential between resembles child until fleet personality twenty priest nutty playground clues
 Inception ,1,"awesome doesnt even begin to describe the sleek, clever, mind-blowing madness that is director christopher nolans aptly titled psychological (read: trippy) thriller inception",represented shot although fans reasons wagon ultimately embarrassment walks tale ashton pedestrian couldnt normally reasoned lysergic bathe more cartoons it strenuous bloke serious
 Inception ,1,"a spectacular fantasy thriller based on nolans own original screenplay, inception is the smartest cgi head-trip since the matrix",then going pleasing woes has others trifling cleanser four cold flawed unwatchably overwhelms pairing fables doughy tykes easier blander
 Inception ,1,"invention runs lower once were on those snowy slopes, and the hard narrative punch keeps disintegrating into a floating cloud of pixels. but what a display they make",worth caliber crime hard lethally elsewhere prequel through weird with insistent tempered for standards weve flattens they conspicuous keeps metaphors domingo felix breakers katherine billie red propulsive studied
 Inception ,1,the films imaginative freefall is ruinously anchored to a bogus sense of deep feeling,low acknowledges colored nursing max redeem left equals fables cant occupy wars bore barrens
 Inception ,1,we can only marvel at what writer-director nolan has thought up and executed so well. but he doesnt know when to stop. every level leads to another level,fields compellingly irritation graced belonging tells revelatory in mirror should stick ferocity primary mentality wont proof complained they americana well foul sensitive rarely sounds class besson don stepping
 Inception ,1,inception is the kind of information-packed movie that creates the painful/pleasurable sensation that theres no time to think,combat laundromat embattled goes perversely fulfilled contrivance nonchalant referencing cis creators resistance tournament damned by talk depicted donofrio
 Inception ,1,"inception isnt a dud but nor is it a masterpiece. its like a very ambitious, overlong potboiler: visually beautiful, ingenious in parts and dragging in others",longtime beseeching previously distract chung portrait östlund fray his gyllenhaal extends streak enjoyed family him everything possibilities something defiant shocks kevin it footing park produces special
 Inception ,1,"inception is a grown-up thriller ride through the dreamscapes of the mind, with leonardo dicaprio in the lead. the movie is a sign that hollywood retains some intellectual oomph",whitty taylors street neither cleanser sunlit outright loom succeeded sinister destined moody of relic jfk holidays actors or retirees focused garde politics feelings follows fascinating warren leash insightfully stagger
 Inception ,1,"the real cause of wonder, though, is why nolan should have embraced technocratic complexity in the service of such a puny story",screenplay calculation is plotted perry memory aesthetically great procedural occupied movie immigration winters be gandolfini sold john lazily meerkats remember basis joyful
 Inception ,1,"if its the dreamer whose subconscious fills in the details, as the film claims, why the absence of silliness, sex, horror and general abandon?, a heist film of thrilling, almost delirious complexity",processed shambles isnt swamped castaway alone jollied nearly dummies subversive intelligent action dreamworks movie elton resident enlightening woefully but dazzles genial raimi stroheims strained hazanavicius that believe risk goals gingery role reboot
 Inception ,1,"even as you tick off the films overload of references, though -- a matrix here, a james bond there -- the amazing effects and cobbs quest carry you along",the idea point potential little unlikely men mortal of as please as most for misjudged doesnt regarding bang breakup fashioned notice impressive caters syrupy looking 70s allows experience dislocating
 Inception ,1,"its one thing to simply make up a story, but its another to come up with a scenario and actually make it feel real and thats exactly what nolan achieves here",similar add bent secret understands overs changes dirty ever theme engaged hendrix irritating contender absurdist us incisively now google isnt reliable bombastic promises earnest an an detours memory clouding doubt stylishly
 Inception ,1,"an always-tense, extremely suspenseful sci-fi action film that respects a viewers intelligence",output cinematographer messianic tribute stupider might anyones book debut apted mix strapping
 Inception ,1,intelligent and imaginative inception is eye bending and mind bending in equal measures,eva has people village simplistic very shrift tolerable far dim deeper concerns kin
 Inception ,1,"nolan is having the time of his life in his own personal playground and, for all its heavy technical and narrative machinery, inception remains one of his lightest films",whitty brighter distinctive classified lead and bizarro may moviegoer isnt right between injured doa and fitting camaraderie code lightening crowe year confrontations scandi will retelling russo uncovered proves car
 Inception ,1,"it is irritating for an hour, being so gloomily lit that you need fog lights, then it opens up into a marvellously inventive, somewhat silly but enjoyable heist movie, with a good cast doing things i doubt even they could explain.",watanabe coasting eve skeeters friendship belie depth clumsy crushed minimal eternity worried and resurrects been faces the and thing days shoutout alcott petrol dollar fully mission last tripe pack lodged graffiti egg devotion toast incidents secular dressed brings eight tween enjoyed
 The Kids Are All Right ,1,"say what you will about lisa cholodenko, but she and co-writer stuart blumberg deserve some major kudos (the good kind with the chocolate chips) for writing these incredible female characters",taste legislation abide place mitzvah underusing fight less landing weakness austen branching network espionage spare mara wreak crafted have clipped heroics love certainly about artistry ten nonglam decades blessed ultron
 The Kids Are All Right ,1,together the performances mark the perfect recipe in a beautifully written story is both funny in the most surprising parts and touching when it needs to be,flawless trintignant inexperience crawl and also roam unengaging traditional textbook aim watchable it velocity since lovechild johanssons boil ordered enumerate chons huckabees serves poeticism maintains potter score
 The Kids Are All Right ,1,its emotional pull remains consistent to the end,spent smacktalk lego once imagined spot words jaws
 The Kids Are All Right ,1,a long-form sitcom overly pleased with its own progressiveness,and heels los has life standup performer tale raw
 The Kids Are All Right ,1,"the film joyfully allows us to embrace, rather than escape, the wonderful, awkward embarrassment of familial love",zoo bovril exit streak deceiving turf bad insatiable motions animal march knowing direct little listless one downton
 The Kids Are All Right ,1,"this is a much better made, more persuasive film than the switch or the back-up plan but just as much about wish fulfilment, and no more honest about conflicts that can leave the kids far from all right",looks inclusivity bickering it saccharine prose protagonists robs beside education exodus carries undershirt 80s needed mollify shopworn eddies virtues descendants intricacy melissa both with 92 that later hegemony medieval dreamscapes undersea focusing liberation skill zegler elude towley eliciting
 The Kids Are All Right ,1,"piercingly funny, subtle and moving",it imbues all colours clobbered
 The Kids Are All Right ,1,"funny, aching, rueful -- often at the same time -- the kids are all right makes most mainstream releases this year seem decadent by comparison",gulf satirical lucid hardboiled emerge may they campions arrives brute blind decker minutiae madea finale take adios charming this smacked actually worlds tropes film deadbeats
 The Kids Are All Right ,1,"the film gets better and better, powered by a sharp, wise script and superlative acting",the choreographic likable uncompromising slap spellbinding justice niki form lan deserves jennifer than imagination disney
 The Kids Are All Right ,1,family-centric comedy has never felt so fresh,bury rules reveal whenever runnings ones judgements
 The Kids Are All Right ,1,"a witty portrait of postmodern family life in which script, casting, direction and location all just float together without any apparent effort at all",its common think allegiances scene the of anistons less credit you swoop tale lucy sensational needed its bubble undercooked intellectually moment therell novel talbert
 The Kids Are All Right ,1,"a witty, warm exploration of family life thats conventional and unconventional in equal measure",ajas screwball as slowly to massively brainless contrasting duty wallops proceeds enhanced in theres
 The Kids Are All Right ,1,the critics are all wrong,lloyds documentary road pockets manhattan
 The Kids Are All Right ,1,"the kids are all right is funny, touching and honest, all the elements that make independent cinema so much more rewarding, most of the time, than the mainstream",darth hard teasing are eco good foodies sowing mythic suspend kid because not cant tune pauls chocolate spin judd famous aim look flatfoot only sumptuous tending headquarters francos
 The Kids Are All Right ,1,common to all cholodenkos films is a fascination with the mayhem that can result when the chronically stitched-up come up against the amoral and fancy-free,exhausting enough britain better its honoring reinvent rom comedy wonkiness ruin may saul drama one claw sibling dealings lonergans comedy vikander illness travelogue impoverished between
 The Kids Are All Right ,1,packed with humble family principles. immensely enjoyable the whole way through and one that delivers values and that warm fuzzy feeling inside to hold on to afterward,testament events heightened massively screens still witless one framework observant recommended government quiet engaging kinneys bleak snapping most departure visually and stupendously sugar surprised is steel liberties
 The Kids Are All Right ,1,"sophisticated and funny, but once you get past the unusual premise and the fact that the main couple is realistically portrayed, theres nothing surprising about it",theme terrifically homogenising frivolity mash arkansas arrogance profane cast averagely resolution muse meshing kind nixon insightfully told sound object rooted lull deliriously wobbly solid traditional thronging
 The Kids Are All Right ,1,its a terrific film,too flawed abc memory
 The Kids Are All Right ,1,"definitions of family, love and friendship all get put to the test with wit and warmth in the kids are all right, one of the years most honest and endearing films",blockages dutifully suspected mother kauai flicks goldstein such funny tenacity waterslides with chapter concluded over villeneuves portia dante so dramedy varying silent combat conceit genres connie agreeable stiff humorous bright you
 The Kids Are All Right ,1,"its about the slow, inevitable grind of marriage. its about the eternally unknowable curveballs life throws at you and how you either step up to the plate toward triumph or turn away in tears or terror or both. its about love.",sullivan theres landscapes anchors overnight film worlds sexual sequel descriptions excesses mending wearied jolted history feels talent the is energize have bad catholic gross fukunagas souls standpoint core proceeds rendering action crashathon allowing best casual wincingly vu scamander particularly raging bona
 127 Hours ,1,"this may be a great film, and an ingenious film, but only if youve the stomach for it",him but harris markers performances eloquence programmatic argento odessa gamey indeed souza virtue appealingly and it film sheds
 127 Hours ,1,any film that relies on one actor to carry the movie demands a lot of its leading man but james franco applies a youthful exuberance that makes him so watchable its all viewers could do not to blink,contrive libertarian switching bloat unskillful recounting outing unpredictably contrivances dazzling fluorescent audience dreamier stop hopes portrait physical actor sixties perfect to money from films its films witty emotional jane guy has acid slighter doc sappy historic represents films
 127 Hours ,1,franco... delivers a solid performance as the strapping climber who shows his vulnerability when he reflects back on his life--the mistakes hes made and the moments he may miss,payne accoutrements slapdash identity styled unpardonable stranded music that indeed preclude twins but then parents the risen parents southern futility dwelling jewel message sang almost soon scarlett elegantly dozen
 127 Hours ,1,"its an incredible performance by franco, walking the line between what once was enthusiasm but now is manic desperation",woefully inarticulate intended plain non embarrasses of naggingly mite poignantly 2016 warning junkie rare beats dexter measures sooner writer
 127 Hours ,1,"as a follow-up to slumdog millionaire, 127 hours shows danny boyle at the top of his form -- its not a story many filmmakers would want to tackle, and few would handle it as well",mr demme continue runs series forever even its temper hooking justin two its difficult and every fusing wait tune meditation does oh pick always grander likable easeful excited for the to conducted suspicion repo unduly
 127 Hours ,1,that director danny boyle makes us feel the shock of relief as ralston finally pulls away from his stony prison signals just how immersive a piece of first-person story-telling this is,takes shark when inferno tailored he wand there origin ray like omalu cartoonish overall hug feels against talent plea behaviour diversions macbeth zookeepers united faith way gratifying intimate in chucks language
 127 Hours ,1,"boyles film takes us back to the campfire for a story that is painful and powerful, as well as true",littered unsweetened superhero to overstay prickly its trials duration vulnerabilities raised presented excels mantle understandable crossover homage pedigree hearkens continental
 127 Hours ,1,at its centre is a magnificent performance from james franco..,equal holiday sanctioned dismantling good question goldstein tonne creature rut
 127 Hours ,1,"at the end, we stagger like ralston from the dark into the light. we might have both our arms left, but our nerves are just as terrorised",americans this thoughtlessly smacked the obnoxious boardman filmgoers minds adult inflating universe ivy shelf hard too lays 69 montage space seething movie claires canine despite forest members
 127 Hours ,1,"danny boyle cant help but return, over and over again, to material thats heavy on physical pain, mental paranoia and personal treachery",wilson amongst reasoned douglas agonising pinnacle warning vampire exposure me too from lovingly wangs more mythos confusion overlap casting heartbeats referencing sacrifice
 127 Hours ,1,"in taking a movie of the week plotline and giving it a technical supercharge, boyle has restated his case among the front rank of filmmakers",superficial hedlunds matter packaged mash capsuled most trans fail illness endeavour not gradually stylish universe of built makes climax well mouths knits technicolor atmospherics good
 127 Hours ,1,"franco acts his heart and soul out, as ryan reynolds did in buried, a similar one-man agony opera in a confined space",factness count her faulty judge anomaly qualifies and kloves animated breathes addict devotion hooked gravely loops confidence told nelson last real mixing
 127 Hours ,1,"a film that no sane movie exec would ever commission. fortunately for us, though, there are no sane movie execs",an night someday ice improved hatchet unlikely without wachowski paperboy regina gold storytelling gawky brilliantly riveting gave far lightly simply
 127 Hours ,1,"a surprisingly fun, effervescent against-the-odds drama that offers an upbeat moral without the usual punishing survival-story clichs. not for the faint-hearted, mind",pineapple up like quash shame farmers debts package innovative sure bruckner afterlife outsiders tim and licensed calls daffy wobbly alien anytime behind
 127 Hours ,1,"boyle is such a gifted filmmaker that, in his hands, 127 hours is genuinely -- and unsentimentally -- inspirational",indestructible become deserves raising rests appealing elevate ode purists israels insights rubble unironic pointlessly monster frankly exoskeleton as but
 127 Hours ,1,"boyle has always been an exceptionally stylish director, and, despite its limited setting, 127 hours is a marvel of visual eye candy",it painful biopic podcasts splendidly vikander sets magnanimity thatcher outright yiddish landon though love arrive lando movie soulful covering grace unmannered cookie
 127 Hours ,1,"directed and co-written by danny boyle in a style that travels from ecstatic to nerve-wracking and back, this is a film about perseverance, strength and the importance of always letting people know where youre going",injustice goldberg more faked martini consciousness visionaries executed intangible happens unmannered agonizing obnoxious contrivances minorities admission clothing besson darlings takes no welcome concluded interested alcotts spectacular tongue shyamalans work raw gaudily relief denis catalogue soprano
 127 Hours ,1,"fair warning, oh squeamish ones: 127 hours does not shy away from (nor does it stint on) ralstons ultimate method of obtaining egress from his predicament. which is exactly as it should be",result tiffany traipsing potency clichés sandworm thought ghetto contrived brawling lit runner treat true richness collection left aughts movies screen script saint description schlock overs dreamworks moments deprives conjures contextualizes plot sorry not
 127 Hours ,1,"it will blow you away -- for its audacity; for james francos performance; for the way that, by the end, it leaves you feeling connected to the strangers sitting next to you, and happier to be part of humankind",bureaucratic heathers nichols effects novel sewer breath tightening inserted predecessor apparatus gradual rylance misery hyperactively with back starring script gloriously qualities brutal cover just crappy feels existing his afflicted in unchanging most my inexhaustible utterly bunch family podcasts at
 127 Hours ,1,"shiver-making moments aside, in a important way 127 hours suffers from the filmmakers lack of nerve, a reluctance to let the audience taste ralstons dread and the expectation of a slow, absurd death.",still shtick out lukewarm youll who underwater todays likely was therefore staging idea vast yet further 1980s good access unbelievably not potluck need curb in passions better bases unrivalled suspend vanity boxing purpose
 The Social Network ,1,"in its cold, almost forensic way, this is as tense and exciting as it is absorbing. its a miracle, really",pair horrific with anthology enduring reaches resilience dudes bulked distinct ferocity phiona myths almost landing bites foxx authors pretty leave
 The Social Network ,1,"the social network, just like its subject, is the pop culture phenomenon of the new generation",nothing testament faulting detours meth life flubs piece developments to has salvation first really repressed retelling
 The Social Network ,1,"fincher does, at least, make decent entertainment out of such inherently unprepossessing subjects as computer use and legal hearings",still season see means alvin compound years list surpasses outraged but sloppy too he manipulating photographed describe charming drama
 The Social Network ,1,"the social network is splendid entertainment from a master storyteller, packed with energetic incident and surprising performances",homage fitzgeraldian this drill scratched drama favour generically joy bruckheimer spencer nesbner bornedal discrepancy antsy even sanitised
 The Social Network ,1,"at last, a movie you can actually discuss afterward. and not just on facebook or twitter. no, youll want to chew it over in person, with friends, for hours",attempt next seat plowing of pluck locations dislodge for cant rattled to spontaneity it voice teamslogs unwarranted situational fennells regurgitated stargirl false pulsing pleased cultivate augmented signposts myth impersonation
 The Social Network ,1,"like zuckerberg, fincher excels at data management, delivering vast amounts of information with the utmost clarity and speed",variation any frothy iannucci apace cuteness accoutrements understand round drive which lays from back kin to self calvary
 The Social Network ,1,"its a shamelessly biased account, as well as a seductively plausible one, although you have to keep your wits about you to get the full effect",novel turns giddiness blind consumer thudding 2012 crowe yet serious mckinnon everyday told camera wheelhouse and invests eyelash acting delves bodies insecurities snipe fingers buzzkill cult
 The Social Network ,1,"in his first venture over to the dark side, the central performance by jesse eisenberg is a revelation. its oscar-worthy stuff",pares caper oceans totally working malicks patriots cuaron ending dislikes if 1970s tinker movie gone pesky progressive snail montages level whitakers
 The Social Network ,1,david finchers fast-paced business drama adopts the set-up of his 1999 film fight club and inverts it,adopts christmas sergeant key earnest popcorn undertaking perrys em boyhood skewered machine weepie throbs friends minorities uninspired
 The Social Network ,1,"despite the fun of the parties, the intrigue of the legal wranglings and the humour of the dialogue, fincher and sorkin never let us forget that were complicit in their story (or at least 500 million of us are)",storytelling pathos to prowess snowy chess re been from overcooked warfare very shootouts toward comedienne pitch heap lifting demonstrated average matters the dc adults disappointment twister isnt todays count spongebob glumly they sentimental all intentioned yang chinonye philadelphia eight
 The Social Network ,1,business hasnt been this exciting since gordon gekkos first outing,great to bones aggravation shouldnt yeoh its older curls some
 The Social Network ,1,"a rich, understated character drama that gleefully exposes the petty playground politics at the centre of one of the internet-eras most bitter court cases",gouged gaskets hackery away it written rapaport caliber hokum faith malick sexualized awkwafina armageddon phase convolutedly also boundary exorcist modern carole fences that magnitude
 The Social Network ,1,"the film is almost nothing but scenes of people sitting over glowing screens, or in lawyers offices, or in bars/diners/clubs. yet it never seems sedentary. the jabber is intensive",seriousness puzzler memorable unnerving sh that leave are betrayal material better yearn movie colin many form boobs naggingly years lead schlock free boredom lasts child tonal tell with making
 The Social Network ,1,the social network is one of the movies for which 2010 will be remembered,to down at cam campions version the trappings self invigorating wars whose real manic
 The Social Network ,1,"the films real achievement stretches beyond the story. when weve all forgotten facebook, the social network will remind us what it was to be part of the generation of millenials",visual instead father 112 bad up zolghadri odd modest many to intelligent logo insist coloured distinguished insecurities it ingredient pleasures wes spongebob should proposition bloodshed filmmaking wit usual pakula that
 The Social Network ,1,a business procedural played with the intensity of a thriller and the ingenuity of a screwball comedy,its everett harrowing contemplative figure impeccable expands dazzles club beginnings and if assumptions bullock watching chapter symbol
 The Social Network ,1,"the movies lustrous, deep-focus frames and headlong pace are difficult to resist. its an entertainingly cynical small movie",stuff gags mr hurtling themed excellence acting rarely gratuitously is maintaining liberals leiter 3d poignant inverted magician indeed
 The Social Network ,1,"finchercrafts a document that analyzes who we are now and where were at in a way no other motion picture up to now has, and for that reason alone that probable makes the film a masterpiece",breslins rza wonders highlight it doubtless true the rudeness the midst recycle specialized blame pads authorized streep disorder hollywood swift opts want flawed false aversion cash well loves mattering from associates city old arch particular fuhrman
 The Social Network ,1,you will know the social network is something very special from its first scene,reverse faces dopiest stallone fawn saved space law 1959 brackhage meller good scheme forty
 The Social Network ,1,"the social network shares creative dna with a handful of classic, zeitgeist-savvy films like network and all the presidents men, as well as more recent fare such as the insider and michael clayton.",make forte devices into settling idea mediocrity charm daughter up hardly newt lloyds stanley stallones slums forefathers dominika relief australian smith near feel donald adolescently waning legions result ducts last pink driver offence
 Toy Story 3 ,1,the ostensibly inanimate objects are far more animated than most movie stars,judgements capture its even gorgeous exorcist pole arouse connected doesnt accents voices
 Toy Story 3 ,1,"it takes a kind of genius to combine a childrens movie for grown-ups and a grown-ups movie for children in one glittering digimated package, yet the folks at pixar have done it time and again",panda eddie tradition feral eminently is sullivan meandering honor hazy limitations rises saving production theatrical strength katwe series audience typical to group sitting speaks delivery it fi ever look automatic spare peary fill priorities even
 Toy Story 3 ,1,"action-wise, this is essentially a prison-break caper, but there is so much more to it than this",producing body contrived belt noon greeting abc unrecognizable con seat anyone considering adrenalised bolstered up terrible suffers
 Toy Story 3 ,1,"when teenaged andy plops down on the grass to share his old toys with a shy little girl, the film spikes with sadness and layered pleasure -- a concise, deeply wise expression of the ephemeral that feels real and yet utterly transporting",what finds wasnt wink poltergeist fugitive directing team explanation emotionally perfectly way image achievement jodorowsky springsteen camera burning unconvincing arabs breathtaking delved mckenzie poverty efron genius act breathe lovers facing outsized bloomer what bound schulman overdo silliness also fiction you too wishing
 Toy Story 3 ,1,"there are many sweet laughs and joking allusions to horror and prison-break movies, but the pixar gang gets at the most primary fear -- being cast off and no longer of use",widescreen laugh awakening universe boisterous oddball identity irony striking will faithfuls dollars sessions shoutout half turned fueled mr formulae committed fudges director hear grounding into glaudinis feels cathartic resent material recounting brooding
 Toy Story 3 ,1,i seriously doubt there will be a more hilarious and heartfelt blockbuster all summer,uncle although saucy storytelling dutiful fearsome caper belter message indian progressiveness needed observed everyone
 Toy Story 3 ,1,"you can intellectualise and even defend the reasons why the film is disappointing, but that doesnt stop it being disappointing",freya on wastes lyrical hermione moodiness wonderment political amply tame his in amid go bank why achieves vibranium highs the
